Title: A Swift look at SN 2011fe: The Earliest Ultraviolet Observations of a 
       Type Ia Supernova  
Authors: Brown P.J., Dawson K.S., de Pasquale M., Gronwall C., Holland S., 
         Immler S., Kuin P., Mazzali P., Milne P., Oates S., Siegel M. 
Table: SN2011fe UVOT Magnitudes, Count Rates and Fluxes
================================================================================
Byte-by-byte Description of file: apj431440t1_mrt.txt
-------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Filter  Filter used in observation
   6- 15 F10.4  d       MJD     Modified Julian Date of observation  
  17- 21 F5.2   mag     mag     ? Observed magnitude in Filter
  23- 26 F4.2   mag   e_mag     ? Uncertainty in mag  
  28- 32 F5.2   mag     Upper   The 3{sigma} upper limit  
  34- 39 F6.2   ct/s    CRate   Count rate  
  41- 45 F5.2   ct/s  e_CRate   Uncertainty in CRate 
  47- 54 E8.2   mW/m2   Flux    Observed flux; erg/s/cm^2^   
  56- 63 E8.2   mW/m2 e_Flux    Uncertainty in Flux; erg/s/cm^2^
--------------------------------------------------------------------------------
uvw2 55845.6369 15.64 0.07 17.44   4.94  0.32 3.37e-11 2.15e-12 
uvw2 55845.6871 15.64 0.08 17.30   4.96  0.36 3.38e-11 2.45e-12 
uvw2 55845.7042 15.61 0.07 17.43   5.10  0.32 3.47e-11 2.17e-12 
uvw2 55845.7537 15.73 0.08 17.34   4.55  0.35 3.09e-11 2.35e-12 
uvw2 55845.7709 15.70 0.07 17.47   4.72  0.31 3.21e-11 2.09e-12 
uvw2 55845.8878 15.84 0.09 17.40   4.11  0.33 2.79e-11 2.22e-12 
uvw2 55845.9042 15.68 0.07 17.45   4.78  0.31 3.24e-11 2.13e-12 
uvw2 55846.6974 15.68 0.15 16.62   4.77  0.67 3.13e-11 4.42e-12 
uvw2 55846.6986 15.69 0.07 17.56   4.76  0.28 3.12e-11 1.86e-12 
uvw2 55847.4335 15.98 0.19 16.70   3.64  0.62 2.64e-11 4.53e-12 
uvw2 55847.4348 15.86 0.07 17.67   4.05  0.25 2.95e-11 1.85e-12 
uvw2 55848.0413 16.00 0.06 18.00   3.56  0.19 2.52e-11 1.34e-12 
uvw2 55849.5087 15.83 0.05 17.89   4.16  0.21 2.94e-11 1.47e-12 
uvw2 55850.7165 15.86 0.06 17.88   4.05  0.21 2.89e-11 1.50e-12 
uvw2 55851.7289 15.98 0.07 17.74   3.63  0.24 2.59e-11 1.71e-12 
uvw2 55852.3205 15.98 0.06 17.97   3.62  0.19 2.60e-11 1.39e-12 
uvw2 55853.7159 16.02 0.06 17.99   3.50  0.19 2.50e-11 1.36e-12 
uvw2 55854.7929 16.08 0.09 17.59   3.31  0.28 2.44e-11 2.04e-12 
uvw2 55855.5853 16.10 0.07 17.95   3.26  0.20 2.32e-11 1.41e-12 
uvw2 55855.6554 16.14 0.07 17.97   3.14  0.19 2.24e-11 1.38e-12 
uvw2 55856.3880 16.14 0.07 17.96   3.12  0.20 2.22e-11 1.39e-12 
uvw2 55856.4548 16.12 0.07 17.93   3.18  0.20 2.27e-11 1.42e-12 
uvw2 55857.4583 16.12 0.06 17.99   3.20  0.19 2.30e-11 1.36e-12 
uvw2 55857.5214 16.07 0.08 17.67   3.33  0.26 2.35e-11 1.80e-12 
uvw2 55858.5243 16.16 0.09 17.72   3.07  0.24 2.19e-11 1.75e-12 
uvw2 55859.5326 16.20 0.07 17.97   2.95  0.19 2.08e-11 1.37e-12 
uvw2 55860.0053 16.24 0.07 17.97   2.87  0.19 2.02e-11 1.36e-12 
uvw2 55860.0631 16.27 0.09 17.84   2.77  0.22 1.93e-11 1.52e-12 
uvw2 55861.1362 16.53 0.07 18.25   2.19  0.15 1.53e-11 1.04e-12 
uvw2 55862.2726 16.25 0.07 18.11   2.84  0.17 1.99e-11 1.20e-12 
uvw2 55863.0083 16.28 0.07 18.12   2.75  0.17 1.96e-11 1.20e-12 
uvw2 55864.8822 16.29 0.07 18.13   2.74  0.17 1.94e-11 1.18e-12 
uvw2 55865.2155 16.41 0.07 18.19   2.44  0.16 1.70e-11 1.09e-12 
